galname,rah,ram,ras,decsign,decd,decm,decs,glat_orig,semimajor,semiminor,posang,nhcon,fnu_12,fqual_12,fnu_25,fqual_25,fnu_60,fqual_60,fnu_100,fqual_100,fir,fqfir,relunc_12,relunc_25,relunc_60,relunc_100,cc_12,cc_25,cc_60,cc_100,cirr1,cirr2,confuse,pnearh,pnearw,hsdflag,ses1_12,ses1_25,ses1_60,ses1_100,ses2,nsss,sssname,dissss,nongal,idngal,dsngal,nrecs,rat_12_25,err_12_25,rat_25_60,err_25_60,rat_60_100,err_60_100,glon,glat,elon,elat,ra,dec,cra,cdec,ra1950,dec1950,cra1950,cdec1950,ROW_IDX,ROW_NUM
23003-7943,23,0,19.7,-,79,43,51,-36,33,5,42,4,0.25,L,0.25,L,0.69,,1.81,,-13.34,,,,C,D,,H,B,B,1,5,0,0,0,0,0,0,1,1,,null,,null,null,,null,1,1.0000,0,0.3623,0,0.3812,0,308.8055,-36.4157,292.3707,-62.1935,346.1001,-79.4611,230424.0,-792740,345.0821,-79.7308,230019.7,-794351,0,0
23007+0836,23,0,44.6,+,8,36,18,-45,47,8,66,2,1.30,,5.48,,26.95,,35.22,,-11.88,,C,C,D,E,A,A,A,A,5,1,0,0,0,0,1,0,0,0,,null,,null,null,,null,2,0.2372,0,0.2033,0,0.7652,0,83.0998,-45.4666,350.4727,13.7595,345.8158,8.8745,230315.8,+085228,345.1858,8.6050,230044.6,+083618,1,1
23008-7414,23,0,48.9,-,74,14,23,-41,32,9,49,3,0.25,L,0.25,L,1.21,,1.94,,-13.20,,,,B,B,M,J,A,B,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2066,0,0.6237,0,312.4363,-41.1224,301.1628,-58.8035,346.0868,-73.9699,230420.8,-735812,345.2037,-74.2397,230048.9,-741423,2,2
23008-4648,23,0,52.9,-,46,48,6,-61,50,16,62,2,0.49,L,0.25,L,0.62,,1.29,:,-13.44,:,,,C,D,,,C,A,2,1,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.9600,0,0.4032,0,0.4806,0,343.3169,-61.2625,326.4762,-36.8245,345.9346,-46.5320,230344.3,-463155,345.2204,-46.8017,230052.9,-464806,3,3
23010+0900,23,1,1.1,+,9,0,51,-45,24,14,66,2,0.68,L,0.31,L,0.73,,2.02,,-13.31,,,,C,C,,L,B,B,5,5,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,2.1935,0,0.4247,0,0.3614,0,83.5128,-45.1705,350.7040,14.1082,345.8841,9.2838,230332.2,+091702,345.2546,9.0142,230101.1,+090051,4,4
23011+0046,23,1,8.4,+,0,46,30,-52,46,8,67,2,0.25,L,0.43,L,2.55,,2.21,,-12.96,,,,C,C,,C,A,B,0,4,0,1,1,0,0,0,0,0,,null,,null,null,,null,1,0.5814,0,0.1686,0,1.1538,0,75.9549,-51.7205,347.4525,6.5143,345.9246,1.0447,230341.9,+010241,345.2850,0.7750,230108.4,+004630,5,5
23014-4416,23,1,26.5,-,44,16,18,-63,76,12,63,2,0.31,L,0.25,L,1.18,,2.07,L,-13.19,L,,,C,,H,,B,D,0,2,0,0,1,0,0,0,0,0,,null,,null,null,,null,1,1.2400,0,0.2119,0,0.5700,0,347.8225,-62.6509,328.0603,-34.6433,346.0678,-44.0018,230416.3,-440006,345.3604,-44.2717,230126.5,-441618,6,6
23016+2221,23,1,36.4,+,22,21,20,-34,30,10,64,2,0.39,L,0.37,,1.51,,2.83,L,-13.07,L,,E,C,,,C,A,B,7,7,0,0,0,8,0,0,0,0,,null,,null,null,,null,2,1.0541,0,0.2450,0,0.5336,0,92.7916,-33.8859,356.6992,26.2123,346.0139,22.6253,230403.3,+223731,345.4017,22.3556,230136.4,+222120,7,7
23017-0508,23,1,47.7,-,5,8,40,-56,43,9,67,2,0.78,L,0.41,L,1.31,,3.27,,-13.08,,,,C,D,F,F,B,B,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.9024,0,0.3130,0,0.4006,0,69.2684,-56.1517,345.3139,0.9901,346.0955,-4.8746,230422.9,-045228,345.4488,-5.1444,230147.7,-050840,8,8
23021+4357,23,2,11.3,+,43,57,10,-15,54,17,56,2,0.25,L,0.25,L,0.48,,2.17,,-13.37,,,,C,D,,,E,C,5,7,0,0,0,8,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.5208,0,0.2212,0,103.4729,-14.5707,9.7638,45.0945,346.1218,44.2227,230429.2,+441322,345.5471,43.9528,230211.3,+435710,9,9
